"","max_ord","max_r","algorithm"
"978",457,"n/2","Q"
"979",474,"n/2","Q"
"980",387,"n/2","Q"
"981",330,"n/2","Q"
"982",426,"n/2","Q"
"983",375,"n/2","Q"
"984",258,"n/2","Q"
"985",584,"n/2","Q"
"986",294,"n/2","Q"
"987",459,"n/2","Q"
"988",369,"n/2","Q"
"989",477,"n/2","Q"
"990",552,"n/2","Q"
"991",483,"n/2","Q"
"992",447,"n/2","Q"
"993",727,"n/2","Q"
"994",306,"n/2","Q"
"995",401,"n/2","Q"
"996",323,"n/2","Q"
"997",443,"n/2","Q"
"998",384,"n/2","Q"
"999",231,"n/2","Q"
"1000",221,"n/2","M"
"1001",653,"n/2","M"
"1002",1000,"n/2","M"
"1003",653,"n/2","M"
"1004",786,"n/2","M"
"1005",699,"n/2","M"
"1006",1000,"n/2","M"
"1007",752,"n/2","M"
"1008",632,"n/2","M"
"1009",538,"n/2","M"
"1010",756,"n/2","M"
"1011",754,"n/2","M"
"1012",1000,"n/2","M"
"1013",1000,"n/2","M"
"1014",738,"n/2","M"
"1015",773,"n/2","M"
"1016",753,"n/2","M"
"1017",798,"n/2","M"
"1018",385,"n/2","M"
"1019",340,"n/2","M"
"1020",393,"n/2","M"
"1021",363,"n/2","M"
"1022",396,"n/2","M"
"1023",331,"n/2","M"
"1024",368,"n/2","M"
"1025",320,"n/2","M"
"1026",431,"n/2","M"
"1027",337,"n/2","M"
"1028",600,"n/2","M"
"1029",370,"n/2","M"
"1030",352,"n/2","M"
"1031",375,"n/2","M"
"1032",384,"n/2","M"
"1033",333,"n/2","M"
"1034",314,"n/2","M"
"1035",386,"n/2","M"
"1036",277,"n/2","M"
"1037",358,"n/2","M"
"1038",354,"n/2","M"
"1039",317,"n/2","M"
"1040",306,"n/2","M"
"1041",281,"n/2","M"
"1042",346,"n/2","M"
"1043",372,"n/2","M"
"1044",227,"n/2","M"
"1045",280,"n/2","M"
"1046",360,"n/2","M"
"1047",223,"n/2","M"
"1048",305,"n/2","M"
"1049",248,"n/2","M"
"1050",264,"n/2","M"
"1051",238,"n/2","M"
"1052",264,"n/2","M"
"1053",258,"n/2","M"
"1054",242,"n/2","M"
"1055",272,"n/2","M"
"1056",273,"n/2","M"
"1057",265,"n/2","M"
"1058",298,"n/2","M"
"1059",241,"n/2","M"
"1060",274,"n/2","M"
"1061",248,"n/2","M"
"1062",261,"n/2","M"
"1063",252,"n/2","M"
"1064",331,"n/2","M"
"1065",296,"n/2","M"
"1066",254,"n/2","M"
"1067",286,"n/2","M"
"1068",249,"n/2","M"
"1069",287,"n/2","M"
"1070",250,"n/2","M"
"1071",404,"n/2","M"
"1072",446,"n/2","M"
"1073",452,"n/2","M"
"1074",346,"n/2","M"
"1075",296,"n/2","M"
"1076",311,"n/2","M"
"1077",381,"n/2","M"
"1078",315,"n/2","M"
"1079",262,"n/2","M"
"1080",292,"n/2","M"
"1081",287,"n/2","M"
"1082",256,"n/2","M"
"1083",253,"n/2","M"
"1084",323,"n/2","M"
"1085",400,"n/2","M"
"1086",230,"n/2","M"
"1087",379,"n/2","M"
"1088",462,"n/2","M"
"1089",348,"n/2","M"
"1090",338,"n/2","M"
"1091",211,"n/2","M"
"1092",246,"n/2","M"
"1093",284,"n/2","M"
"1094",267,"n/2","M"
"1095",226,"n/2","M"
"1096",267,"n/2","M"
"1097",346,"n/2","M"
"1098",249,"n/2","M"
"1099",324,"n/2","M"
"1100",411,"n/2","I"
"1101",113,"n/2","I"
"1102",80,"n/2","I"
"1103",65,"n/2","I"
"1104",61,"n/2","I"
"1105",95,"n/2","I"
"1106",101,"n/2","I"
"1107",110,"n/2","I"
"1108",60,"n/2","I"
"1109",67,"n/2","I"
"1110",60,"n/2","I"
"1111",66,"n/2","I"
"1112",88,"n/2","I"
"1113",63,"n/2","I"
"1114",48,"n/2","I"
"1115",111,"n/2","I"
"1116",68,"n/2","I"
"1117",65,"n/2","I"
"1118",63,"n/2","I"
"1119",65,"n/2","I"
"1120",106,"n/2","I"
"1121",53,"n/2","I"
