"","max_ord","n","algorithm"
"963",49,100,"M"
"964",37,100,"M"
"965",56,100,"M"
"966",55,100,"M"
"967",71,100,"M"
"968",43,100,"M"
"969",49,100,"M"
"970",29,100,"M"
"971",42,100,"M"
"972",42,100,"M"
"973",32,100,"M"
"974",55,100,"M"
"975",35,100,"M"
"976",45,100,"M"
"977",59,100,"M"
"978",55,100,"M"
"979",34,100,"M"
"980",39,100,"M"
"981",34,100,"M"
"982",36,100,"M"
"983",50,100,"M"
"984",33,100,"M"
"985",40,100,"M"
"986",68,100,"M"
"987",50,100,"M"
"988",31,100,"M"
"989",46,100,"M"
"990",54,100,"M"
"991",43,100,"M"
"992",38,100,"M"
"993",32,100,"M"
"994",36,100,"M"
"995",32,100,"M"
"996",19,100,"M"
"997",36,100,"M"
"998",32,100,"M"
"999",26,100,"M"
"1000",25,1000,"M"
"1001",653,1000,"M"
"1002",1000,1000,"M"
"1003",653,1000,"M"
"1004",786,1000,"M"
"1005",699,1000,"M"
"1006",1000,1000,"M"
"1007",752,1000,"M"
"1008",632,1000,"M"
"1009",538,1000,"M"
"1010",756,1000,"M"
"1011",754,1000,"M"
"1012",1000,1000,"M"
"1013",1000,1000,"M"
"1014",738,1000,"M"
"1015",773,1000,"M"
"1016",753,1000,"M"
"1017",798,1000,"M"
"1018",385,1000,"M"
"1019",340,1000,"M"
"1020",393,1000,"M"
"1021",363,1000,"M"
"1022",396,1000,"M"
"1023",331,1000,"M"
"1024",368,1000,"M"
"1025",320,1000,"M"
"1026",431,1000,"M"
"1027",337,1000,"M"
"1028",600,1000,"M"
"1029",370,1000,"M"
"1030",352,1000,"M"
"1031",375,1000,"M"
"1032",384,1000,"M"
"1033",333,1000,"M"
"1034",314,1000,"M"
"1035",386,1000,"M"
"1036",277,1000,"M"
"1037",358,1000,"M"
"1038",354,1000,"M"
"1039",317,1000,"M"
"1040",306,1000,"M"
"1041",281,1000,"M"
"1042",346,1000,"M"
"1043",372,1000,"M"
"1044",227,1000,"M"
"1045",280,1000,"M"
"1046",360,1000,"M"
"1047",223,1000,"M"
"1048",305,1000,"M"
"1049",248,1000,"M"
"1050",264,1000,"M"
"1051",238,1000,"M"
"1052",264,1000,"M"
"1053",258,1000,"M"
"1054",242,1000,"M"
"1055",272,1000,"M"
"1056",273,1000,"M"
"1057",265,1000,"M"
"1058",298,1000,"M"
"1059",241,1000,"M"
"1060",274,1000,"M"
"1061",248,1000,"M"
"1062",261,1000,"M"
"1063",252,1000,"M"
"1064",331,1000,"M"
"1065",296,1000,"M"
"1066",254,1000,"M"
"1067",286,1000,"M"
"1068",249,1000,"M"
"1069",287,1000,"M"
"1070",250,1000,"M"
"1071",404,1000,"M"
"1072",446,1000,"M"
"1073",452,1000,"M"
"1074",346,1000,"M"
"1075",296,1000,"M"
"1076",311,1000,"M"
"1077",381,1000,"M"
"1078",315,1000,"M"
"1079",262,1000,"M"
"1080",292,1000,"M"
"1081",287,1000,"M"
"1082",256,1000,"M"
"1083",253,1000,"M"
"1084",323,1000,"M"
"1085",400,1000,"M"
"1086",230,1000,"M"
"1087",379,1000,"M"
"1088",462,1000,"M"
"1089",348,1000,"M"
"1090",338,1000,"M"
"1091",211,1000,"M"
"1092",246,1000,"M"
"1093",284,1000,"M"
"1094",267,1000,"M"
"1095",226,1000,"M"
"1096",267,1000,"M"
"1097",346,1000,"M"
"1098",249,1000,"M"
"1099",324,1000,"M"
"1100",411,10000,"M"
"1101",3493,10000,"M"
"1102",3466,10000,"M"
"1103",2989,10000,"M"
"1104",3059,10000,"M"
"1105",3129,10000,"M"
"1106",5273,10000,"M"
"1107",3006,10000,"M"
"1108",5133,10000,"M"
"1109",3724,10000,"M"
"1110",3490,10000,"M"
"1111",3147,10000,"M"
"1112",2558,10000,"M"
"1113",2619,10000,"M"
"1114",2991,10000,"M"
"1115",2340,10000,"M"
"1116",2636,10000,"M"
"1117",2569,10000,"M"
"1118",2831,10000,"M"
"1119",3090,10000,"M"
"1120",2269,10000,"M"
"1121",3501,10000,"M"
"1122",2574,10000,"M"
"1123",4645,10000,"M"
"1124",2065,10000,"M"
"1125",5257,10000,"M"
"1126",2936,10000,"M"
"1127",2807,10000,"M"
"1128",2710,10000,"M"
"1129",2746,10000,"M"
"1130",1944,10000,"M"
"1131",2320,10000,"M"
"1132",1861,10000,"M"
"1133",2617,10000,"M"
"1134",2845,10000,"M"
"1135",1779,10000,"M"
"1136",2395,10000,"M"
